Region Name,Region Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,14.70468803,14.94445944,15.18560824,15.44441389,15.71907592,16.00199217,16.29373777,16.59127846,16.89762841,17.21524892,17.51915249,17.83369904,18.16394129,18.49316386,18.81365388,19.14767904,19.49397651,19.85235986,20.21802055,20.54967239,20.8449998,21.14342066,21.44512281,21.77597465,22.15034964,22.56397241,23.0119386,23.46524297,23.93198503,24.40612424,24.91922419,25.40823554,25.92071883,26.41393046,26.81228768,27.16961718,27.50594153,27.81969699,28.10573982,28.38454186,28.66928645,28.97707398,29.30419872,29.63127254,29.96182423,30.30970467,30.64624325,30.91409378,31.33132106,31.7564714,32.1934098,32.64154811,33.07168716,33.50754797,33.95242436,34.40508391,34.86510094,35.3323726,35.80777012,36.29132207,36.78330615
Africa Western and Central,AFW,14.67032879,15.05357725,15.44928163,15.86402073,16.29498396,16.7413607,17.1668157,17.6054569,18.0569094,18.52029326,18.98285064,19.51736269,20.06791178,20.62894669,21.20231444,21.78625004,22.39004373,22.96046213,23.5336332,24.02408142,24.51857743,25.13912534,25.770209,26.4049334,27.05715134,27.74599551,28.42461621,29.09021173,29.73906346,30.36831478,31.00083415,31.4691089,31.87830327,32.28151172,32.68411786,33.09251767,33.50476208,33.95489072,34.41486715,34.88412701,35.35298133,35.95324816,36.55797662,37.17443633,37.79981878,38.43139227,39.07079047,39.7088247,40.34596002,40.98431673,41.62587945,42.26466339,42.90103543,43.53070432,44.15713096,44.781373,45.40180911,46.01933354,46.63313828,47.24285288,47.84862544
Arab World,ARB,31.23414164,31.9799265,32.72911998,33.50159968,34.30360238,35.14769996,35.94979857,36.64105324,37.34395894,38.05620302,38.78066788,39.49123831,40.22399989,40.94649655,41.59528892,42.20190307,42.77174081,43.29347686,43.80170961,44.30973701,44.84657253,45.40673133,45.97463414,46.5748921,47.21669992,47.83321343,48.44033875,48.97988776,49.43881771,49.84501187,50.39524758,50.78305244,50.77871123,51.15121053,51.409425,51.89568602,52.06257087,52.2640692,52.49701583,52.74084599,52.98930169,53.25144416,53.51562569,53.80116724,54.10558232,54.47030631,54.86573621,55.14907974,55.57907435,56.0097688,56.44088052,56.79189573,57.09839627,57.40073405,57.69232547,58.03146615,58.34562698,58.64232235,58.92659505,59.20164596,59.47176561
Central Europe and the Baltics,CEB,44.50789271,45.20733807,45.86736852,46.53492089,47.20969385,47.88113003,48.50539628,49.06780646,49.63850394,50.21515291,50.78027619,51.42665617,52.14646899,52.86595833,53.58543005,54.29446618,54.99225446,55.70506773,56.43427636,57.10405793,57.70612452,58.16395386,58.55863252,58.95534489,59.35257773,59.74670786,60.1311095,60.50966732,60.89172739,61.18313929,61.39184891,61.60331237,61.69341933,61.66523865,61.6367536,61.60923061,61.58724766,61.56317794,61.53401823,61.50506979,61.47618736,61.4954533,61.55576075,61.60215569,61.64818105,61.70269222,61.76389545,61.84184543,61.92454055,61.98604688,62.02606502,62.06393449,62.08177697,62.09681374,62.11364514,62.14067246,62.18448432,62.24845473,62.3336666,62.43813921,62.55889581
East Asia & Pacific,EAS,22.60112941,23.18820466,23.71459229,24.17876651,24.65360401,24.65125288,24.64715336,24.69551666,24.76443247,24.83981057,24.91818786,25.03574838,25.13890817,25.32249252,25.58462435,25.70703488,25.89799235,26.08673434,26.48023061,27.09217148,27.73114443,28.39724923,29.06109361,29.63420407,30.22335963,30.81621568,31.42259414,32.04231123,32.6681674,33.30686402,33.95620975,34.65024848,35.35433738,36.07196546,36.80500863,37.55075211,38.3095737,39.06556094,39.83554939,40.61429001,41.42075566,42.41273491,43.49715801,44.58251876,45.67083873,46.7554264,47.80934155,48.8443114,49.88570074,50.91744116,51.94533708,52.87592052,53.77087852,54.65936426,55.5481306,56.4350009,57.31900645,58.19461494,59.05283706,59.88894566,60.69776203
Europe & Central Asia,ECS,55.56496562,56.09789638,56.62918443,57.18572875,57.74047251,58.30302435,58.86292425,59.40923704,59.93652767,60.43446202,60.92238223,61.39509928,61.85840924,62.30914075,62.7501725,63.15784521,63.54028834,63.92639529,64.31637114,64.66856963,64.97558883,65.3088758,65.60945987,65.89453169,66.169974,66.4359559,66.69708073,66.97958192,67.26182767,67.46329831,67.60604573,67.73872129,67.84682492,67.94471204,68.05538679,68.17256764,68.28281338,68.38995937,68.49785861,68.61293773,68.74163617,68.89867508,69.10057049,69.31116508,69.52323192,69.73739237,69.95055221,70.16531457,70.37546125,70.57759411,70.7712101,70.9470448,71.12166594,71.29377108,71.46553755,71.64450241,71.82868423,72.01701422,72.21117525,72.41174487,72.61503956
European Union,EUU,58.67764105,59.21740313,59.75380286,60.33976997,60.92464775,61.51239281,62.08384093,62.62224853,63.12620526,63.57837082,64.02397502,64.46902307,64.87942514,65.27137464,65.65121151,65.98818692,66.29599683,66.62272468,66.95843973,67.28227624,67.5903726,67.86225918,68.05921193,68.22258483,68.35644436,68.47998262,68.6307377,68.84005633,69.0450585,69.19925114,69.36894408,69.55914572,69.71599083,69.84575957,69.98610226,70.12687931,70.26683112,70.40152068,70.53313067,70.66972828,70.82571156,71.01222186,71.24038316,71.46274788,71.68110575,71.89993089,72.11664854,72.33639871,72.55503086,72.7634111,72.97232615,73.16805773,73.35688824,73.53940583,73.71784858,73.90818407,74.10507332,74.30750954,74.51669708,74.73732637,74.9565121
Latin America & Caribbean,LCN,49.46610479,50.26867123,51.08175701,51.89689914,52.71674381,53.48089587,54.24400162,55.00573786,55.76831821,56.5270451,57.28029936,58.03941299,58.79221096,59.52189054,60.24451859,60.96651127,61.6852054,62.40300282,63.1179943,63.82599311,64.53256742,65.22076254,65.8756991,66.51217511,67.14170869,67.76465356,68.37249775,68.96816221,69.55512289,70.12992345,70.68828868,71.20981915,71.70828742,72.19397215,72.68486564,73.17108052,73.63568815,74.10919996,74.57735164,75.02987535,75.47822411,75.83698077,76.16652028,76.48826382,76.79652688,77.09900813,77.39826338,77.69395533,77.98385707,78.26703004,78.54569366,78.82516383,79.09952396,79.36745745,79.63006037,79.88691098,80.13743933,80.38289616,80.62499126,80.87055753,81.11809007
Middle East & North Africa,MEA,34.9190995,35.67860613,36.44716287,37.22547771,38.03200066,38.87047628,39.66294462,40.39868559,41.13805162,41.88816049,42.65394604,43.40294808,44.16260981,44.93586594,45.67591684,46.38955334,47.09115665,47.73884372,48.36386224,48.9830521,49.60953244,50.23406402,50.8503573,51.45998323,52.05851444,52.64041267,53.21522238,53.69743349,54.10259572,54.47276422,54.94044384,55.31853619,55.42090242,55.84703676,56.25175628,56.83165409,57.15743851,57.49511649,57.85394753,58.22326935,58.59567391,58.97171057,59.34295394,59.71633983,60.09818811,60.52415688,60.96673167,61.39518465,61.81617376,62.23800737,62.656622,63.00198346,63.34024881,63.67427629,64.00004552,64.37090085,64.71960427,65.05272643,65.37220585,65.67874465,65.97413654
North America,NAC,69.91840256,70.31954524,70.73978371,71.15636541,71.56938765,71.97871764,72.3826157,72.76219843,73.13854969,73.5112239,73.8016579,73.85612635,73.85386055,73.85182834,73.85012852,73.84830487,73.84743795,73.86058101,73.87244749,73.88512697,73.9311267,74.07345154,74.22676191,74.37972645,74.53080075,74.68169241,74.83157434,74.96854138,75.10536467,75.24090146,75.43326939,75.79777241,76.18057399,76.5587808,76.93319284,77.30302614,77.67168444,78.04520539,78.41549319,78.78166901,79.10242412,79.29464184,79.46014243,79.62477618,79.78929336,79.95100922,80.11409653,80.28532991,80.45557959,80.62475234,80.79198564,80.96264204,81.12430122,81.29037419,81.45987195,81.63309369,81.80877001,81.9896397,82.17306426,82.36170798,82.55306655
South Asia,SAS,16.74360637,16.87573363,17.06387032,17.25377509,17.44531643,17.63693809,17.83004011,18.02512496,18.22337578,18.42692883,18.6377186,18.88049995,19.20790804,19.54414639,19.8992223,20.28295603,20.67323295,21.07096103,21.47812536,21.89650456,22.32941437,22.7096673,22.96555316,23.22420574,23.48518503,23.74677162,24.01010505,24.27471491,24.54137814,24.80303478,25.06482023,25.31385722,25.5353508,25.75790795,25.98297928,26.21037552,26.44243639,26.67762863,26.91358452,27.14705747,27.38130269,27.65353851,27.99169671,28.33217121,28.67732874,29.02586426,29.37782748,29.73363815,30.09297856,30.45394485,30.81736726,31.18389328,31.56070938,31.94444859,32.33684793,32.73756129,33.14632123,33.56412896,33.99235199,34.43189734,34.88229313
Sub-Saharan Africa,SSF,14.69011222,14.99063099,15.29690016,15.62108941,15.96097235,16.31178989,16.6586705,17.01416357,17.3798519,17.75679776,18.1250791,18.5290116,18.94836673,19.37109257,19.79348023,20.22802002,20.67785348,21.1211524,21.56987229,21.96464625,22.33942368,22.76714721,23.20089534,23.65316487,24.1380096,24.66059793,25.19904114,25.73502771,26.27208765,26.80568082,27.36408167,27.84232301,28.31125474,28.76676298,29.1658087,29.5432678,29.91034706,30.27967984,30.63680531,30.99351149,31.35364903,31.78032716,32.22036093,32.66512975,33.11568728,33.57925551,34.03939095,34.45810135,34.96559309,35.47803732,35.9983829,36.52384403,37.03719324,37.55105688,38.06905755,38.59107378,39.11625406,39.64485886,40.17708574,40.71277863,41.25214235
