Region Name,Region Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,19239140,20049454,20897622,21807831,22780115,23806156,24889120,26027808,27231613,28510477,29827617,31226835,32720733,34281989,35896602,37607945,39417943,41331233,43341045,45361426,47381924,49487953,51682559,54036272,56600804,59379673,62373875,65511328,68810262,72248141,75915921,79628062,83534720,87500260,91263650,94986520,98733565,102499055,106267351,110125774,114136170,118377760,122850151,127487552,132320448,137425436,142683199,147820966,153891037,160244637,166912605,173901249,181061819,188513993,196270604,204322110,212669776,221319466,230276235,239539517,249112475
Africa Western and Central,AFW,14141671,14813809,15527606,16290977,17102150,17961784,18832309,19752609,20725919,21755557,22830490,24042328,25329419,26690752,28135375,29667110,31304229,32974833,34728830,36435847,38220116,40278806,42440898,44698120,47077237,49617207,52240354,54942267,57714623,60549192,63490907,66189690,68849602,71585803,74419165,77372831,80449684,83737431,87173656,90758152,94468306,98667898,103035908,107608667,112398933,117415817,122676606,128156920,133856733,139777233,145922388,152273428,158838089,165607296,172602709,179836016,187305752,195016097,202961117,211133789,219531155
Arab World,ARB,28797167,30292838,31856706,33513054,35275352,37163923,39098510,41001095,42996401,45072699,47229279,49429097,51727556,54115424,56549739,59099791,61785181,64577345,67503323,70549318,73737081,77054758,80484020,84070461,87839719,91672509,95591260,99470785,103272583,107044138,112206715,116156921,118292240,122375841,126184143,131351768,134842548,138406842,142044209,145772435,149612191,153594287,157691929,162002776,166570987,171562822,176916080,182152309,188077327,194146202,200303097,206243657,212084938,217948565,223788436,229821029,235741356,241572841,247404481,253306244,259344908
Central Europe and the Baltics,CEB,40681000,41695965,42661010,43668377,44715037,45698224,46636161,47617004,48588166,49515470,50340797,51239081,52332715,53454187,54624942,55847599,57068800,58276907,59441882,60500960,61480865,62310691,63085437,63847364,64598204,65326024,66038489,66739999,67399068,67791921,67987254,68052850,67931520,67857615,67813738,67686515,67515755,67363668,67218739,67078013,66669587,66206030,65839890,65682785,65551568,65430714,65329206,65168162,65021934,64961672,64768515,64654506,64524893,64402919,64285250,64165146,64046460,63954111,63915976,63935741,63968382
East Asia & Pacific,EAS,235429991,242005233,250928808,262069864,273480292,279979176,287302253,294969156,303235819,312112688,321305582,331494507,340867218,351176556,362344117,370950495,380071938,388811932,400710067,416259017,432389450,449472419,467508588,484397131,501464836,519061525,537634255,557231673,577375455,597895560,618727706,640428468,662072463,683993182,706500380,729410002,752839238,776355955,800178867,823921886,848148000,876209795,906126744,936055669,966147698,996426796,1026344222,1055909249,1086071137,1116140554,1146373658,1175208431,1204635829,1234156243,1263762181,1293210148,1322708144,1352403771,1380787292,1407811694,1432986198
Europe & Central Asia,ECS,369955077,377810730,385873432,394232518,402627532,411031929,418941744,426719332,434277489,441602309,448575050,455486309,462704386,469780695,476707046,483319555,489723646,496063786,502435540,508566509,514462719,520516803,526030896,531300940,536648561,541995028,547418322,553085423,558785968,563731116,567671068,571377236,574626258,577536090,579889799,581826945,583679990,585470793,587253046,589076288,590882531,592968758,595789100,599185026,602821368,606525226,610258935,614329197,618715906,622979518,627123956,630254951,634368772,638937915,643586548,648297897,652989492,657383765,661623321,665476579,669275971
European Union,EUU,209424082,213181707,217026100,221155219,225329955,229461361,233459533,237286949,240893038,244278893,247339287,250392496,253675308,256859012,259945566,262841889,265497896,268106830,270694082,273200950,275684801,277931180,279652313,281059601,282265172,283455424,284869973,286582422,288368788,289995473,291681148,293352144,294873463,296384280,297720266,298883110,299966897,300993286,301959292,303042739,304075051,305278438,306961949,309016307,311124846,313183120,315148345,317172249,319152658,320826834,322196474,322486012,323794326,325389418,326995182,328554220,330129009,331549958,333026382,334222735,335656323
Latin America & Caribbean,LCN,108738813,113561312,118601206,123830413,129231623,134641424,140185979,145865840,151690750,157649899,163742445,170002038,176390005,182862225,189470148,196237078,203154601,210229614,217469839,224866739,232448279,240150707,247909318,255752241,263693513,271711764,279759362,287843392,295974791,304139444,312318023,320398798,328430896,336461543,344570679,352708584,360796874,368962266,377107619,385157288,393146853,400611339,407855320,415000440,422041065,429032823,435986287,442898542,449769450,456604093,463337076,470192575,477015727,483791757,490491739,497108429,503629772,510053174,516359790,522741449,529082736
Middle East & North Africa,MEA,36736022,38554953,40472905,42474857,44600581,46854938,49145636,51486073,53901916,56425113,59064222,61765811,64571649,67535154,70573785,73721019,77009266,80373615,83885692,87614192,91593377,95812128,100255119,104893034,109660638,114531217,119494692,124347214,129069928,133705160,139666916,144406982,147229306,151964173,156596441,162593636,166923253,171273186,175668721,180164175,184767856,189474452,194266446,199218967,204420068,210036897,216006631,222207084,228610568,235187448,241803138,248191695,254607763,261044559,267471774,274105309,280634584,287077018,293504358,299961065,306485571
North America,NAC,138875014,142050755,145157046,148185763,151199564,154056841,156823451,159477276,162004081,164487979,167109832,169631002,171465521,173148992,174814604,176622456,178369631,180233292,182170788,184203265,186155130,188399131,190641337,192802947,194889455,197027492,199269494,201510529,203797727,206276409,209231872,213050439,217071868,220996624,224788006,228538710,232288316,236183090,240006391,243831291,247519374,250612588,253516142,256244701,259163359,262099001,265190165,268301627,271462240,274499918,277437381,280120518,282845297,285498217,288277446,291027807,293894567,296582186,299083080,301433350,303426490
